epoch_index,band,window,window_start_s,window_stop_s,pre_baseline_power,post_window_power,post_logratio_db
0,theta,early,0.3,1.3,1.712604813519647e-07,2.9942874846256018e-09,-11.051054954528809
1,theta,early,0.3,1.3,1.6869545049758017e-07,1.4239841528151942e-09,-13.550488471984863
2,theta,early,0.3,1.3,1.6461508778320422e-07,2.3763406797883135e-09,-11.023263931274414
3,theta,early,0.3,1.3,1.6641786260152003e-07,2.182567904185362e-09,-11.20771598815918
4,theta,early,0.3,1.3,1.663676272301018e-07,2.048494041062554e-09,-11.231388092041016
5,theta,early,0.3,1.3,1.6675279823630262e-07,8.891190561577389e-10,-14.479402542114258
6,theta,early,0.3,1.3,1.7512360273030936e-07,1.9742016910129223e-09,-12.40963363647461
7,theta,early,0.3,1.3,1.6497031651852012e-07,1.7309669253506854e-09,-11.6933012008667
8,theta,early,0.3,1.3,1.7090368942263012e-07,5.586284768099858e-09,-7.546841144561768
9,theta,early,0.3,1.3,1.7766691939868906e-07,2.5524178326463698e-09,-12.621580123901367
10,theta,early,0.3,1.3,1.7920073958066496e-07,2.295789780504265e-09,-11.845189094543457
11,theta,early,0.3,1.3,1.7403775132152077e-07,1.977157992882894e-09,-12.669906616210938
12,theta,early,0.3,1.3,1.7568576993198803e-07,2.1093116142623103e-09,-10.662067413330078
13,theta,early,0.3,1.3,1.7268189367314335e-07,3.700453055088815e-09,-9.044407844543457
14,theta,early,0.3,1.3,1.7794324946862616e-07,2.8025961551492173e-09,-13.01964282989502
15,theta,early,0.3,1.3,1.7507436211872118e-07,3.892968170049471e-09,-9.469120979309082
16,theta,early,0.3,1.3,1.7643191085880972e-07,1.6291510362975714e-09,-13.876860618591309
17,theta,early,0.3,1.3,1.7418551578884944e-07,1.890376521984649e-09,-12.411108016967773
18,theta,early,0.3,1.3,1.7561801257670595e-07,3.302895734691447e-08,0.1378452479839325
19,theta,early,0.3,1.3,1.8099470366905734e-07,3.1060913840974536e-09,-11.19449234008789
20,theta,early,0.3,1.3,1.763589807524113e-07,3.004759774327681e-09,-10.097636222839355
21,theta,early,0.3,1.3,1.8338124618821894e-07,1.421757489517006e-09,-15.93378734588623
22,theta,early,0.3,1.3,1.8055654038562352e-07,4.614021165139093e-09,-9.868016242980957
23,theta,early,0.3,1.3,1.774741917870415e-07,2.282822109123117e-08,-5.957399845123291
24,theta,early,0.3,1.3,2.27186561119197e-07,5.049747731078469e-09,-14.454500198364258
25,theta,early,0.3,1.3,1.9425657171723287e-07,1.0892653001803865e-08,-8.303483009338379
26,theta,early,0.3,1.3,2.1078092515836033e-07,8.560888886677276e-08,-6.248198986053467
27,theta,early,0.3,1.3,1.7863692391983932e-07,7.347152664038958e-09,-6.042564868927002
28,theta,early,0.3,1.3,1.838171925783172e-07,9.959902236289508e-09,-8.865802764892578
29,theta,early,0.3,1.3,1.8161421166951186e-07,3.2353129064688346e-09,-12.468149185180664
30,theta,early,0.3,1.3,1.787900316685409e-07,8.856410715907259e-09,-6.350434303283691
31,theta,early,0.3,1.3,1.8910353105638933e-07,3.737636422584956e-09,-16.463083267211914
32,theta,early,0.3,1.3,1.767208317460245e-07,8.010147212189622e-09,-9.543554306030273
33,theta,early,0.3,1.3,1.7654269868216943e-07,5.630993982208565e-08,-4.317963600158691
34,theta,early,0.3,1.3,1.8126674206087046e-07,2.638706586566286e-09,-13.679343223571777
35,theta,early,0.3,1.3,1.7572212129834952e-07,2.677344346224686e-09,-12.362882614135742
36,theta,early,0.3,1.3,1.7393078621807945e-07,1.5970771372053605e-09,-13.675226211547852
37,theta,early,0.3,1.3,1.7431274557111465e-07,6.822699560871115e-08,-4.237532615661621
38,theta,early,0.3,1.3,1.726903491316989e-07,4.465543490539403e-09,-9.785740852355957
39,theta,early,0.3,1.3,1.7056744638921373e-07,2.220588157797465e-09,-12.528127670288086
40,theta,early,0.3,1.3,1.7470426882937318e-07,5.670028002668914e-09,-9.136716842651367
41,theta,early,0.3,1.3,1.733426557848361e-07,2.308756075208862e-09,-13.201147079467773
42,theta,early,0.3,1.3,1.6798759361336124e-07,2.4585411484423503e-09,-11.84335994720459
43,theta,early,0.3,1.3,1.652660586159982e-07,1.2913196067998456e-09,-14.567748069763184
44,theta,early,0.3,1.3,1.6875121389148262e-07,7.193134532457179e-09,-7.959165573120117
45,theta,early,0.3,1.3,1.7112844830080576e-07,2.5152442351128457e-09,-11.348526000976562
46,theta,early,0.3,1.3,1.7894294046527648e-07,2.0252550747557052e-09,-14.058112144470215
47,theta,early,0.3,1.3,1.6772204958215298e-07,4.2448058401589606e-09,-9.203625679016113
48,theta,early,0.3,1.3,1.390337729390012e-07,2.318113256905008e-09,-11.256293296813965
49,theta,early,0.3,1.3,1.3428726219899545e-07,3.267681680796386e-09,-10.457767486572266
50,theta,early,0.3,1.3,1.4403063630652468e-07,2.723053782460738e-09,-10.704368591308594
51,theta,early,0.3,1.3,1.3917068031332747e-07,3.514896373957299e-09,-11.18812370300293
52,theta,early,0.3,1.3,1.40011934490758e-07,4.826891331077832e-09,-9.74650764465332
53,theta,early,0.3,1.3,1.387412567055435e-07,2.3429971296451413e-09,-11.113507270812988
54,theta,early,0.3,1.3,1.4055736130558216e-07,3.6894545196730633e-09,-9.457454681396484
55,theta,early,0.3,1.3,1.3820613276038785e-07,3.437842011067005e-09,-11.0145902633667
56,theta,early,0.3,1.3,1.394127338016915e-07,1.954239881030162e-09,-12.71248722076416
57,theta,early,0.3,1.3,1.423721158744229e-07,2.836462176247778e-09,-10.701780319213867
58,theta,early,0.3,1.3,1.3824215727709088e-07,2.5038218165462922e-09,-10.320596694946289
59,theta,early,0.3,1.3,1.40049806418574e-07,5.278777859274442e-09,-6.405386924743652
60,theta,early,0.3,1.3,1.3625354711166437e-07,2.0061448058328324e-09,-11.568312644958496
61,theta,early,0.3,1.3,1.393387947246083e-07,2.902599938181538e-09,-9.702434539794922
62,theta,early,0.3,1.3,1.4359602573676966e-07,3.4946008309333365e-09,-10.601761817932129
63,theta,early,0.3,1.3,1.440650549966449e-07,4.627514371691177e-09,-10.71684455871582
64,theta,early,0.3,1.3,1.4213770782589563e-07,3.817333560363068e-09,-10.258793830871582
65,theta,early,0.3,1.3,1.3918980812377413e-07,3.775691315155427e-09,-9.43364143371582
66,theta,early,0.3,1.3,1.476379622999957e-07,2.4286173072596284e-09,-12.660431861877441
67,theta,early,0.3,1.3,1.4024222139141784e-07,3.004987370047729e-09,-10.973197937011719
68,theta,early,0.3,1.3,1.4220145772014803e-07,2.879394722654638e-09,-9.873696327209473
69,theta,early,0.3,1.3,1.4316678687009698e-07,1.8656327593902233e-09,-12.322431564331055
70,theta,early,0.3,1.3,1.4622581545609137e-07,2.638302021296113e-09,-10.099340438842773
71,theta,early,0.3,1.3,1.5151069021612784e-07,3.828012573592332e-09,-10.740907669067383
72,theta,early,0.3,1.3,1.504946993691192e-07,8.984865074168624e-10,-15.739176750183105
73,theta,early,0.3,1.3,1.4657977942533762e-07,2.03926497910345e-09,-11.443120956420898
74,theta,early,0.3,1.3,1.4618137811339693e-07,1.2338688959445676e-09,-14.285343170166016
0,theta,late,1.3,2.3,1.712604813519647e-07,1.916422798231565e-09,-13.168258666992188
1,theta,late,1.3,2.3,1.6869545049758017e-07,1.647404324067736e-09,-12.407146453857422
2,theta,late,1.3,2.3,1.6461508778320422e-07,1.6576668926404636e-09,-12.650321960449219
3,theta,late,1.3,2.3,1.6641786260152003e-07,1.2801505411275116e-09,-13.424382209777832
4,theta,late,1.3,2.3,1.663676272301018e-07,1.5466961045262906e-09,-12.297436714172363
5,theta,late,1.3,2.3,1.6675279823630262e-07,3.044566598831011e-09,-9.633017539978027
6,theta,late,1.3,2.3,1.7512360273030936e-07,1.5304986167308243e-09,-14.251313209533691
7,theta,late,1.3,2.3,1.6497031651852012e-07,1.855763653857423e-09,-12.095149040222168
8,theta,late,1.3,2.3,1.7090368942263012e-07,3.5724700975237056e-09,-9.884102821350098
9,theta,late,1.3,2.3,1.7766691939868906e-07,4.718438084694299e-09,-10.454791069030762
10,theta,late,1.3,2.3,1.7920073958066496e-07,1.5994336965974298e-09,-13.745832443237305
11,theta,late,1.3,2.3,1.7403775132152077e-07,2.207467542092445e-09,-11.797001838684082
12,theta,late,1.3,2.3,1.7568576993198803e-07,2.3272361815429576e-09,-11.769624710083008
13,theta,late,1.3,2.3,1.7268189367314335e-07,9.724082872253348e-09,-5.35344934463501
14,theta,late,1.3,2.3,1.7794324946862616e-07,3.513119350984084e-09,-13.010307312011719
15,theta,late,1.3,2.3,1.7507436211872118e-07,3.8502099286574776e-09,-10.030600547790527
16,theta,late,1.3,2.3,1.7643191085880972e-07,1.676073502210329e-09,-13.915501594543457
17,theta,late,1.3,2.3,1.7418551578884944e-07,1.2883450972722699e-09,-12.963032722473145
18,theta,late,1.3,2.3,1.7561801257670595e-07,4.231606620663797e-09,-8.431364059448242
19,theta,late,1.3,2.3,1.8099470366905734e-07,2.091153916694566e-09,-13.8756685256958
20,theta,late,1.3,2.3,1.763589807524113e-07,1.097758417500927e-08,-6.064589500427246
21,theta,late,1.3,2.3,1.8338124618821894e-07,3.4593663489346227e-09,-12.684375762939453
22,theta,late,1.3,2.3,1.8055654038562352e-07,2.8831994569600283e-09,-10.979323387145996
23,theta,late,1.3,2.3,1.774741917870415e-07,3.0285089991366476e-08,-5.381771564483643
24,theta,late,1.3,2.3,2.27186561119197e-07,1.071081268122498e-08,-11.821548461914062
25,theta,late,1.3,2.3,1.9425657171723287e-07,1.5796201680018385e-08,-5.552348613739014
26,theta,late,1.3,2.3,2.1078092515836033e-07,2.433508949906127e-09,-15.733418464660645
27,theta,late,1.3,2.3,1.7863692391983932e-07,1.4954917304521587e-08,-5.320509433746338
28,theta,late,1.3,2.3,1.838171925783172e-07,8.280194307985766e-09,-8.816169738769531
29,theta,late,1.3,2.3,1.8161421166951186e-07,5.420610627027145e-09,-11.376165390014648
30,theta,late,1.3,2.3,1.787900316685409e-07,4.027432609632342e-08,-4.883339881896973
31,theta,late,1.3,2.3,1.8910353105638933e-07,1.043601294270502e-08,-11.764544486999512
32,theta,late,1.3,2.3,1.767208317460245e-07,7.704278104370132e-09,-10.846112251281738
33,theta,late,1.3,2.3,1.7654269868216943e-07,1.3734347881211306e-08,-8.801945686340332
34,theta,late,1.3,2.3,1.8126674206087046e-07,4.028519295928845e-09,-12.100868225097656
35,theta,late,1.3,2.3,1.7572212129834952e-07,2.798154152827692e-09,-10.759391784667969
36,theta,late,1.3,2.3,1.7393078621807945e-07,2.6623856452800965e-09,-11.15617847442627
37,theta,late,1.3,2.3,1.7431274557111465e-07,2.0588593052650594e-09,-12.909248352050781
38,theta,late,1.3,2.3,1.726903491316989e-07,4.374514972482757e-09,-8.30709171295166
39,theta,late,1.3,2.3,1.7056744638921373e-07,3.1511671050310497e-09,-10.664429664611816
40,theta,late,1.3,2.3,1.7470426882937318e-07,5.842696992885976e-09,-9.488192558288574
41,theta,late,1.3,2.3,1.733426557848361e-07,2.524526143687922e-09,-13.653617858886719
42,theta,late,1.3,2.3,1.6798759361336124e-07,3.8294358795099015e-09,-10.942479133605957
43,theta,late,1.3,2.3,1.652660586159982e-07,2.1029429309038505e-09,-12.683192253112793
44,theta,late,1.3,2.3,1.6875121389148262e-07,3.964271133582997e-09,-9.106453895568848
45,theta,late,1.3,2.3,1.7112844830080576e-07,2.768473894576573e-09,-12.37260913848877
46,theta,late,1.3,2.3,1.7894294046527648e-07,1.7755246162209914e-09,-14.701004981994629
47,theta,late,1.3,2.3,1.6772204958215298e-07,1.220120227074517e-09,-15.41178035736084
48,theta,late,1.3,2.3,1.390337729390012e-07,1.1235606889314909e-09,-13.99141788482666
49,theta,late,1.3,2.3,1.3428726219899545e-07,4.191766933558938e-09,-7.697885513305664
50,theta,late,1.3,2.3,1.4403063630652468e-07,7.02978875111171e-09,-6.797601699829102
51,theta,late,1.3,2.3,1.3917068031332747e-07,2.440948332349535e-09,-13.329943656921387
52,theta,late,1.3,2.3,1.40011934490758e-07,2.2808668287410683e-09,-12.209702491760254
53,theta,late,1.3,2.3,1.387412567055435e-07,2.9977740290121346e-09,-9.580466270446777
54,theta,late,1.3,2.3,1.4055736130558216e-07,2.5218911403612765e-09,-10.882780075073242
55,theta,late,1.3,2.3,1.3820613276038785e-07,1.5313011969553258e-09,-14.115957260131836
56,theta,late,1.3,2.3,1.394127338016915e-07,3.2180051956487432e-09,-10.01082992553711
57,theta,late,1.3,2.3,1.423721158744229e-07,1.91020355089222e-09,-11.870658874511719
58,theta,late,1.3,2.3,1.3824215727709088e-07,1.570697572006452e-09,-12.548473358154297
59,theta,late,1.3,2.3,1.40049806418574e-07,1.663072901614271e-09,-11.323987007141113
60,theta,late,1.3,2.3,1.3625354711166437e-07,1.3500416340406218e-09,-12.938132286071777
61,theta,late,1.3,2.3,1.393387947246083e-07,2.6040072320654417e-09,-10.843900680541992
62,theta,late,1.3,2.3,1.4359602573676966e-07,3.5112732721387374e-09,-11.201708793640137
63,theta,late,1.3,2.3,1.440650549966449e-07,4.3589580833724995e-09,-10.357470512390137
64,theta,late,1.3,2.3,1.4213770782589563e-07,2.613277372276457e-09,-11.389934539794922
65,theta,late,1.3,2.3,1.3918980812377413e-07,2.2521366993544234e-09,-13.115483283996582
66,theta,late,1.3,2.3,1.476379622999957e-07,1.189932041789632e-09,-15.410531997680664
67,theta,late,1.3,2.3,1.4024222139141784e-07,1.8479154872963477e-09,-12.116379737854004
68,theta,late,1.3,2.3,1.4220145772014803e-07,3.048866936694594e-09,-9.469734191894531
69,theta,late,1.3,2.3,1.4316678687009698e-07,1.268017357780593e-09,-13.839613914489746
70,theta,late,1.3,2.3,1.4622581545609137e-07,3.2644364988954067e-09,-10.232495307922363
71,theta,late,1.3,2.3,1.5151069021612784e-07,3.5323677316512203e-09,-11.522590637207031
72,theta,late,1.3,2.3,1.504946993691192e-07,1.7407572050487374e-09,-12.817617416381836
73,theta,late,1.3,2.3,1.4657977942533762e-07,1.898403878541899e-09,-12.194729804992676
74,theta,late,1.3,2.3,1.4618137811339693e-07,2.4006994170377993e-09,-11.466306686401367
0,alpha,early,0.3,1.3,2.9769207099406003e-09,1.4018251004443982e-09,-5.088656902313232
1,alpha,early,0.3,1.3,3.0609941248371797e-09,1.4776828649587515e-09,-5.469630718231201
2,alpha,early,0.3,1.3,4.345497295332734e-09,2.1629200652739655e-09,-5.817861557006836
3,alpha,early,0.3,1.3,3.3913400976359753e-09,3.2955271844770095e-09,-2.6536574363708496
4,alpha,early,0.3,1.3,4.538842635071205e-09,1.2559916440224583e-09,-8.214115142822266
5,alpha,early,0.3,1.3,2.9301017168137378e-09,1.8175655425167747e-09,-4.390697956085205
6,alpha,early,0.3,1.3,8.293980613416352e-09,2.494771500494153e-09,-8.541513442993164
7,alpha,early,0.3,1.3,2.979998470209466e-09,3.3307485658440328e-09,-1.583135962486267
8,alpha,early,0.3,1.3,6.053837431352349e-09,7.266861778987277e-09,-0.8265259861946106
9,alpha,early,0.3,1.3,6.418450659850805e-09,3.889049082772544e-09,-5.2310471534729
10,alpha,early,0.3,1.3,8.589539746139963e-09,2.8984636912809947e-09,-6.933436393737793
11,alpha,early,0.3,1.3,3.5607414794469605e-09,5.790977475328418e-09,-0.665665864944458
12,alpha,early,0.3,1.3,5.9377351924183586e-09,7.407825464156303e-10,-11.248205184936523
13,alpha,early,0.3,1.3,2.775078833394673e-09,5.719779760937627e-09,0.7366901636123657
14,alpha,early,0.3,1.3,1.557426010379004e-08,5.142322123674603e-09,-7.241183280944824
15,alpha,early,0.3,1.3,5.931062752040361e-09,5.817531345542193e-09,-1.7104370594024658
16,alpha,early,0.3,1.3,7.163297510714983e-09,7.595560291839831e-10,-11.149030685424805
17,alpha,early,0.3,1.3,2.413832911329905e-09,1.157329787560002e-09,-4.215427875518799
18,alpha,early,0.3,1.3,2.4222670536033775e-09,1.715777386834816e-08,6.477405548095703
19,alpha,early,0.3,1.3,6.2582619086981595e-09,2.0376413889522382e-09,-6.833722114562988
20,alpha,early,0.3,1.3,2.860382819491747e-09,1.9508197279805017e-09,-4.733517169952393
21,alpha,early,0.3,1.3,1.2538987625987374e-08,9.765009911788525e-10,-12.34408187866211
22,alpha,early,0.3,1.3,4.664416852762088e-09,5.226098220845188e-09,-3.3319780826568604
23,alpha,early,0.3,1.3,6.162511390073178e-09,6.070655533818581e-09,-1.8767549991607666
24,alpha,early,0.3,1.3,2.065734960865484e-08,5.4854636388768085e-09,-8.068045616149902
25,alpha,early,0.3,1.3,1.3118553354729556e-08,7.921392430887408e-09,-5.952334403991699
26,alpha,early,0.3,1.3,1.2829660001045795e-08,1.8627886788635806e-08,-3.8778936862945557
27,alpha,early,0.3,1.3,6.804889096656552e-09,5.403836045303478e-09,-2.9037439823150635
28,alpha,early,0.3,1.3,1.1511301245548111e-08,8.221497260763044e-09,-3.705528974533081
29,alpha,early,0.3,1.3,9.968997183307238e-09,3.730966202653008e-09,-6.011635780334473
30,alpha,early,0.3,1.3,1.0406614237012946e-08,1.0134766803560069e-08,-1.595517873764038
31,alpha,early,0.3,1.3,1.4336841047679627e-08,7.642712240851779e-09,-6.568442344665527
32,alpha,early,0.3,1.3,4.834560307642732e-09,1.7261966300807785e-09,-6.659953594207764
33,alpha,early,0.3,1.3,8.633405990110532e-09,3.9555565933824255e-08,0.5182434916496277
34,alpha,early,0.3,1.3,8.474348334175374e-09,1.87692728026434e-09,-8.36397647857666
35,alpha,early,0.3,1.3,4.16708934025678e-09,2.7597530927181424e-09,-5.03096866607666
36,alpha,early,0.3,1.3,4.325435565277758e-09,1.8042966010156647e-09,-6.462215423583984
37,alpha,early,0.3,1.3,7.222328068934303e-09,1.2652363601262095e-08,-1.6974979639053345
38,alpha,early,0.3,1.3,5.349478193750201e-09,1.2343645217072208e-08,-0.48740947246551514
39,alpha,early,0.3,1.3,1.0075344114568452e-08,2.6241011585881324e-09,-8.629812240600586
40,alpha,early,0.3,1.3,8.235050863447668e-09,7.919064515249374e-09,-1.9185855388641357
41,alpha,early,0.3,1.3,9.582704407762321e-09,3.914578439179195e-09,-6.519158840179443
42,alpha,early,0.3,1.3,6.47684261778636e-09,4.448152068903255e-09,-3.238612174987793
43,alpha,early,0.3,1.3,8.806711804254519e-09,8.664118311685343e-10,-10.654691696166992
44,alpha,early,0.3,1.3,3.5854998969853114e-09,1.6296130667114994e-08,4.265661239624023
45,alpha,early,0.3,1.3,1.041649166921843e-08,2.595292203366739e-09,-8.015857696533203
46,alpha,early,0.3,1.3,5.4276014793686045e-09,3.7327230195671746e-09,-4.068037986755371
47,alpha,early,0.3,1.3,8.622881075837086e-09,5.099763722427042e-09,-4.454797744750977
48,alpha,early,0.3,1.3,4.347338045107563e-09,2.763361317548174e-09,-6.015065670013428
